,Open,High,Low,Close,Adj Close,Volume
2006-02-15 00:00:00,39.421162,39.724579,39.001041,39.584541,25.92227,1144934.0
2006-02-16 00:00:00,39.747921,39.981319,39.537861,39.887959,26.120966,1662124.0
2006-02-17 00:00:00,40.144699,40.144699,39.561199,39.841282,26.090397,1866255.0
2006-02-20 00:00:00,39.794601,39.887959,39.537861,39.81794,26.075111,839325.0
2006-02-21 00:00:00,39.701241,40.07468,39.4445,39.887959,26.120966,1716979.0
2006-02-22 00:00:00,39.934639,40.378098,39.747921,40.354759,26.426655,2123857.0
2006-02-23 00:00:00,40.354759,40.6115,39.631222,40.051338,26.227953,2070403.0
2006-02-24 00:00:00,39.934639,40.448116,39.81794,40.448116,26.487785,1427368.0
2006-02-27 00:00:00,40.121361,40.261398,39.421162,39.771259,26.044544,2887346.0
2006-02-28 00:00:00,39.631222,39.771259,38.650944,38.650944,25.310898,3403016.0
2006-03-01 00:00:00,38.767643,39.164421,38.767643,39.164421,25.647152,1508427.0
2006-03-02 00:00:00,39.164421,39.421162,38.790981,38.861004,25.448454,1891739.0
2006-03-03 00:00:00,39.001041,39.211102,38.580921,38.627602,25.295603,1867566.0
2006-03-06 00:00:00,39.39782,39.421162,38.487564,38.487564,25.203897,2463960.0
2006-03-07 00:00:00,38.720963,38.767643,38.347523,38.650944,25.310898,1740102.0
2006-03-08 00:00:00,38.580921,38.69762,37.974083,38.440884,25.173334,1809550.0
2006-03-09 00:00:00,38.790981,38.837662,38.160805,38.440884,25.173334,1918432.0
2006-03-10 00:00:00,38.417542,38.931023,38.137463,38.884342,25.463734,1604391.0
2006-03-13 00:00:00,38.931023,39.23444,38.814323,38.884342,25.463734,1454305.0
2006-03-14 00:00:00,38.977703,39.23444,38.931023,39.211102,25.677713,1369707.0
2006-03-15 00:00:00,39.211102,39.351143,39.164421,39.28112,25.723572,1341190.0
2006-03-16 00:00:00,39.327801,39.60788,39.164421,39.351143,25.769424,1674113.0
2006-03-17 00:00:00,39.351143,40.028,39.351143,39.911301,26.136251,2963752.0
2006-03-20 00:00:00,40.144699,40.448116,39.794601,39.934639,26.151533,1689018.0
